City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Nanortalik,60.14,-45.24,45.41,89,100,6.78,GL,1596493691
Wahiawā,21.5,-158.02,87.8,57,75,10.29,US,1596493692
Shelburne,44.08,-80.2,68.0,94,40,4.7,CA,1596493692
Coquimbo,-29.95,-71.34,53.6,93,40,11.41,CL,1596493692
Teeli,51.03,90.23,50.52,73,3,1.21,RU,1596493692
Tasiilaq,65.61,-37.64,42.8,93,100,5.82,GL,1596493693
Polunochnoye,60.87,60.42,55.47,73,100,1.14,RU,1596493693
Port Elizabeth,-33.92,25.57,55.4,93,20,5.82,ZA,1596493693
Bafra,41.57,35.91,66.2,77,40,1.12,TR,1596493693
Avarua,-21.21,-159.78,71.6,68,91,10.29,CK,1596493694
Saint Anthony,45.02,-93.22,73.0,40,90,9.17,US,1596493694
Praia da Vitória,38.73,-27.07,77.0,73,75,14.9,PT,1596493694
Vaini,-21.2,-175.2,77.0,78,75,10.29,TO,1596493695
Cayenne,4.93,-52.33,77.0,100,64,7.43,GF,1596493695
Rikitea,-23.12,-134.97,73.49,83,18,17.2,PF,1596493695
Severo-Kuril'sk,50.68,156.12,53.71,88,64,7.4,RU,1596493695
Tautira,-17.73,-149.15,84.2,66,20,10.29,PF,1596493695
Norman Wells,65.28,-126.83,80.6,47,75,8.05,CA,1596493696
Kavaratti,10.57,72.64,82.17,77,99,28.05,IN,1596493696
Kerman,30.28,57.08,80.6,17,20,9.17,IR,1596493696
Faanui,-16.48,-151.75,77.92,81,0,12.8,PF,1596493697
Tynda,55.17,124.72,54.84,80,100,4.81,RU,1596493697
Hilo,19.73,-155.09,84.2,58,1,9.17,US,1596493697
Narsaq,60.92,-46.05,48.2,87,100,4.7,GL,1596493697
Dikson,73.51,80.55,53.87,94,100,26.26,RU,1596493697
San Patricio,19.22,-104.7,87.8,79,75,11.41,MX,1596493698
Longyearbyen,78.22,15.64,42.8,100,90,4.7,SJ,1596493698
Vila Velha,-20.33,-40.29,73.0,77,40,5.82,BR,1596493699
Ushuaia,-54.8,-68.3,44.6,48,20,6.93,AR,1596493699
Yellowknife,62.46,-114.35,77.0,69,90,6.93,CA,1596493503
Saint-Philippe,-21.36,55.77,68.0,82,90,14.99,RE,1596493699
Bilibino,68.05,166.44,47.71,85,99,2.01,RU,1596493700
Hasaki,35.73,140.83,79.0,88,20,4.7,JP,1596493700
Suwannaphum,15.6,103.8,81.0,94,40,5.82,TH,1596493700
Hearst,49.68,-83.67,53.44,81,100,4.74,CA,1596493700
Hithadhoo,-0.6,73.08,82.42,77,100,8.86,MV,1596493701
Ola,59.58,151.28,60.84,63,1,2.3,RU,1596493701
Chui,-33.7,-53.46,57.52,91,0,6.8,UY,1596493701
Yamada,39.47,141.95,72.34,84,100,6.46,JP,1596493701
Baykit,61.67,96.37,56.32,83,16,3.89,RU,1596493702
Nikolskoye,59.7,30.79,60.8,82,36,4.47,RU,1596493702
Hong Kong,22.29,114.16,80.01,88,85,5.01,HK,1596493702
Hermanus,-34.42,19.23,55.99,93,29,3.0,ZA,1596493702
Sibu,2.3,111.82,77.0,94,40,1.5,MY,1596493702
Businga,3.33,20.88,70.02,95,98,1.34,CD,1596493703
Laguna,38.42,-121.42,100.0,18,1,6.93,US,1596493703
Polkowice,51.5,16.07,61.0,94,97,5.99,PL,1596493703
Wichita Falls,33.91,-98.49,91.0,43,40,5.82,US,1596493703
Tumut,-35.3,148.22,43.93,84,90,2.86,AU,1596493559
East Hemet,33.74,-116.94,100.0,25,0,3.0,US,1596493704
Arraial do Cabo,-22.97,-42.03,68.0,72,0,4.7,BR,1596493704
Ellisras,-23.66,27.74,48.87,50,0,2.86,ZA,1596493704
Lüderitz,-26.65,15.16,55.4,87,0,3.36,NA,1596493705
Hofn,64.25,-15.21,51.12,92,92,4.68,IS,1596493705
Corigliano Calabro,39.59,16.52,78.01,40,0,5.99,IT,1596493705
Haines Junction,60.75,-137.51,62.76,42,82,7.72,CA,1596493705
Punta Arenas,-53.15,-70.92,39.2,77,20,11.41,CL,1596493510
Atuona,-9.8,-139.03,79.29,73,42,14.9,PF,1596493706
Camocim,-2.9,-40.84,79.16,74,20,12.24,BR,1596493706
Ilulissat,69.22,-51.1,44.6,75,40,4.7,GL,1596493706
Mataura,-46.19,168.86,48.6,78,100,3.18,NZ,1596493706
Saint Paul Harbor,57.79,-152.41,55.4,87,90,13.87,US,1596493707
Port Alfred,-33.59,26.89,60.96,84,0,14.14,ZA,1596493707
Krasnoarmiys'k,48.28,37.18,61.29,65,1,8.34,UA,1596493707
Jacareacanga,-6.22,-57.75,85.1,41,9,1.92,BR,1596493708
Chokurdakh,70.63,147.92,47.44,70,100,5.21,RU,1596493708
Khatanga,71.97,102.5,64.18,74,4,7.45,RU,1596493708
Upernavik,72.79,-56.15,43.48,91,100,7.74,GL,1596493708
São Pedro do Sul,-29.62,-54.18,73.4,78,0,6.93,BR,1596493708
Qaanaaq,77.48,-69.36,34.21,88,96,2.91,GL,1596493709
Bantou,26.22,117.49,75.2,88,73,1.99,CN,1596493709
Ambon City,-3.7,128.18,75.0,100,40,5.82,ID,1596493501
Half Moon Bay,37.46,-122.43,86.0,77,40,16.11,US,1596493651
Seminole,28.71,-81.21,93.99,46,1,9.17,US,1596493535
Kralendijk,12.15,-68.27,87.8,70,81,17.22,BQ,1596493710
Tarabuco,-19.17,-64.92,52.84,61,4,5.53,BO,1596493710
Hobart,-42.88,147.33,37.4,86,75,8.05,AU,1596493680
Kaitangata,-46.28,169.85,46.99,88,100,8.01,NZ,1596493711
Ust-Nera,64.57,143.2,57.99,60,100,7.27,RU,1596493711
Todos Santos,23.45,-110.22,82.0,76,3,4.0,MX,1596493455
Awjilah,29.11,21.29,81.03,54,0,10.69,LY,1596493711
Shwebo,22.57,95.7,79.84,89,100,8.97,MM,1596493712
Umm Kaddadah,13.6,26.69,81.91,53,6,13.69,SD,1596493712
Malanje,-9.54,16.34,63.88,38,94,5.39,AO,1596493712
Telimele,10.92,-13.33,70.27,98,97,7.65,GN,1596493712
Ponta do Sol,32.67,-17.1,69.01,70,9,4.27,PT,1596493713
Kapaa,22.08,-159.32,82.4,65,20,12.75,US,1596493713
Saint George,37.1,-113.58,105.01,8,1,12.75,US,1596493465
Cape Town,-33.93,18.42,57.99,87,75,3.36,ZA,1596493541
Luanda,-8.84,13.23,71.6,88,75,3.36,AO,1596493486
Klaksvík,62.23,-6.59,50.0,93,76,8.05,FO,1596493714
Albany,42.6,-73.97,84.0,41,21,3.98,US,1596493700
Dunedin,-45.87,170.5,46.99,91,87,1.99,NZ,1596493714
Talcahuano,-36.72,-73.12,55.4,87,75,9.17,CL,1596493714
Krasnosel'kup,65.7,82.47,63.0,61,84,14.67,RU,1596493715
Gizo Government Station,-8.1,156.84,82.63,78,26,6.91,SB,1596493715
Mchinji,-13.8,32.88,54.07,93,8,4.09,MW,1596493715
Sitka,57.05,-135.33,59.0,87,90,11.41,US,1596493716
Kisangani,0.52,25.2,72.52,88,78,1.63,CD,1596493716
Walvis Bay,-22.96,14.51,55.99,90,0,1.01,NA,1596493716
Tuktoyaktuk,69.45,-133.04,57.2,87,75,9.17,CA,1596493716
Bonfim,3.08,-59.95,82.65,73,58,5.23,BR,1596493717
Leningradskiy,69.38,178.42,38.93,87,100,10.18,RU,1596493717
Busselton,-33.65,115.33,51.01,85,42,20.98,AU,1596493717
Netivot,31.42,34.59,80.01,76,0,2.53,IL,1596493717
Nanma,36.18,118.16,75.33,89,95,3.15,CN,1596493717
San,13.3,-4.9,75.61,82,100,7.16,ML,1596493655
East London,-33.02,27.91,63.91,76,0,12.57,ZA,1596493718
Mount Gambier,-37.83,140.77,42.8,75,40,16.11,AU,1596493718
Thompson,55.74,-97.86,80.6,34,20,9.17,CA,1596493719
Clyde River,70.47,-68.59,44.6,93,90,6.93,CA,1596493719
Butaritari,3.07,172.79,82.81,74,1,17.27,KI,1596493719
Saskylakh,71.92,114.08,68.88,61,75,1.28,RU,1596493719
Deputatsky,69.3,139.9,47.57,74,85,4.07,RU,1596493719
Banda Aceh,5.56,95.32,80.28,76,100,14.36,ID,1596493720
Kavieng,-2.57,150.8,83.44,77,16,11.14,PG,1596493720
New Norfolk,-42.78,147.06,33.01,77,22,1.01,AU,1596493720
Porosozero,62.72,32.73,56.73,90,89,6.2,RU,1596493720
Phenix City,32.47,-85.0,87.01,74,75,3.36,US,1596493721
Port Hardy,50.7,-127.42,68.0,64,75,5.82,CA,1596493721
Yar-Sale,66.83,70.83,55.29,86,89,9.86,RU,1596493721
Kruisfontein,-34.0,24.73,53.49,86,0,7.56,ZA,1596493721
Punta Alta,-38.88,-62.07,59.58,79,75,5.14,AR,1596493722
Talnakh,69.49,88.4,59.0,82,25,8.95,RU,1596493722
Matata,-37.88,176.75,53.01,79,7,5.99,NZ,1596493722
Carnarvon,-24.87,113.63,62.6,67,90,5.82,AU,1596493722
Kamina,-8.74,24.99,62.65,32,0,3.02,CD,1596493722
Bambous Virieux,-20.34,57.76,66.99,93,75,17.22,MU,1596493723
Port-Gentil,-0.72,8.78,77.0,78,40,11.86,GA,1596493723
Nuquí,5.71,-77.27,78.8,94,75,2.24,CO,1596493723
Souillac,-20.52,57.52,66.2,93,75,17.22,MU,1596493723
Ribeira Grande,38.52,-28.7,73.31,89,27,15.7,PT,1596493724
Aklavik,68.22,-135.01,69.8,64,40,4.7,CA,1596493724
Bayan,46.08,127.4,68.23,93,98,8.01,CN,1596493724
Beringovskiy,63.05,179.32,51.76,64,100,4.76,RU,1596493724
La Ronge,55.1,-105.28,80.6,36,5,13.87,CA,1596493724
Cidreira,-30.18,-50.21,63.81,71,0,7.63,BR,1596493725
Merke,42.87,73.18,69.31,40,0,4.45,KZ,1596493725
Isangel,-19.55,169.27,71.6,64,75,6.6,VU,1596493725
Kumul,42.8,93.45,82.44,15,33,6.98,CN,1596493725
Shubarshi,48.59,57.19,74.23,62,100,8.63,KZ,1596493726
Luganville,-15.53,167.17,78.8,74,75,11.41,VU,1596493726
Cherskiy,68.75,161.3,44.8,75,98,11.65,RU,1596493726
Lebu,-37.62,-73.65,51.64,93,100,12.71,CL,1596493726
Lanzhou,36.06,103.79,73.0,50,95,5.88,CN,1596493727
Bluff,-46.6,168.33,48.63,76,100,11.52,NZ,1596493727
Kiryat Gat,31.61,34.76,80.01,76,0,1.36,IL,1596493727
Chernyshevskiy,63.01,112.47,56.8,79,63,4.34,RU,1596493727
Fortuna,40.6,-124.16,73.99,67,32,8.01,US,1596493728
Willowmore,-33.29,23.49,49.78,80,1,4.36,ZA,1596493728
Storm Lake,42.64,-95.21,71.6,49,49,9.17,US,1596493728
Novo Aripuanã,-5.12,-60.38,85.3,43,29,1.36,BR,1596493728
Mar del Plata,-38.0,-57.56,54.0,100,90,11.41,AR,1596493728
Iralaya,15.0,-83.23,86.0,79,75,8.55,HN,1596493729
Hamilton,39.18,-84.53,80.6,57,40,5.82,US,1596493575
Yulara,-25.24,130.99,46.4,22,0,5.82,AU,1596493729
Honiara,-9.43,159.95,86.0,70,20,8.05,SB,1596493729
Tiksi,71.69,128.87,43.25,84,89,6.04,RU,1596493445
Malakal,9.53,31.66,71.1,91,99,3.8,SS,1596493730
Havelock,34.88,-76.9,82.99,94,75,6.93,US,1596493730
Fernley,39.61,-119.25,93.0,9,0,11.01,US,1596493711
Jamestown,42.1,-79.24,64.4,93,90,8.05,US,1596493719
Bulawayo,-20.15,28.58,49.89,71,0,8.81,ZW,1596493731
Amapá,1.0,-52.0,79.12,72,36,0.63,BR,1596493731
Maple Creek,49.92,-109.48,86.77,35,71,12.35,CA,1596493731
Barreirinha,-2.79,-57.07,85.89,48,59,1.63,BR,1596493732
Warrington,53.39,-2.58,54.0,81,50,5.82,GB,1596493590
Bilma,18.69,12.92,93.2,42,2,19.37,NE,1596493732
Kathmandu,27.72,85.32,71.6,100,40,3.36,NP,1596493586
Coro,11.4,-69.67,91.78,50,60,9.1,VE,1596493732
Nabire,-3.37,135.48,75.36,90,100,4.07,ID,1596493733
Camacha,33.08,-16.33,71.6,83,75,13.87,PT,1596493733
Al Bardīyah,31.76,25.09,77.09,76,0,5.3,LY,1596493733
Las Vegas,36.17,-115.14,111.0,5,1,8.05,US,1596493087
Srednekolymsk,67.45,153.68,53.47,60,96,10.33,RU,1596493734
Nouadhibou,20.93,-17.03,73.4,83,0,13.87,MR,1596493734
Kodinsk,58.69,99.18,57.49,86,100,3.56,RU,1596493734
Port Macquarie,-31.43,152.92,50.0,94,0,5.35,AU,1596493734
Alghero,40.56,8.32,71.6,73,41,4.7,IT,1596493734
São Filipe,14.9,-24.5,77.63,78,23,8.21,CV,1596493735
Iskateley,67.68,53.15,48.88,83,6,13.51,RU,1596493735
Wanning,18.8,110.4,79.3,89,100,7.14,CN,1596493735
Reconquista,-29.15,-59.65,72.48,59,0,9.15,AR,1596493736
Khovd,48.01,91.64,56.64,57,49,2.57,MN,1596493736
Brewster,41.4,-73.62,84.99,48,1,5.82,US,1596493736
Departamento de Maldonado,-34.67,-54.92,64.99,93,5,11.41,UY,1596493728
Bairiki Village,1.33,172.98,84.2,74,40,8.05,KI,1596493737
Anadyr,64.75,177.48,55.4,76,40,6.71,RU,1596493737
Poum,-20.23,164.02,71.08,58,99,6.13,NC,1596493738
Kahului,20.89,-156.47,91.4,36,40,25.28,US,1596493738
Kota Tinggi,1.74,103.9,79.0,94,20,1.72,MY,1596493738
Alofi,-19.06,-169.92,80.6,83,75,10.29,NU,1596493738
Ubari,26.59,12.78,84.22,14,0,7.07,LY,1596493739
Biasca,46.36,8.97,66.2,59,75,5.82,CH,1596493739
Borogontsy,62.67,131.17,63.84,58,37,3.67,RU,1596493739
Pisco,-13.7,-76.22,64.4,72,40,5.82,PE,1596493739
Tual,-5.67,132.75,77.86,84,76,15.7,ID,1596493740
Selkirk,50.14,-96.88,80.6,32,40,8.05,CA,1596493740
Buta,2.79,24.73,70.03,98,15,1.79,CD,1596493740
Maham,28.98,76.3,92.07,52,87,9.51,IN,1596493740
Abilene,32.45,-99.73,82.4,58,20,6.93,US,1596493638
High Level,58.52,-117.14,75.2,60,75,12.75,CA,1596493741
Abu Samrah,35.3,37.18,73.81,73,0,8.57,SY,1596493741
Riyadh,24.69,46.72,91.4,18,70,5.82,SA,1596493741
Te Anau,-45.42,167.72,45.72,80,99,4.0,NZ,1596493742
Ancud,-41.87,-73.82,48.99,76,5,1.12,CL,1596493742
Bengkulu,-3.8,102.27,74.95,92,72,2.89,ID,1596493743
Patacamaya,-17.23,-67.92,53.02,40,0,8.05,BO,1596493743
Carnduff,49.17,-101.8,73.99,51,0,11.99,CA,1596493743
Harlingen,26.19,-97.7,91.99,62,1,16.11,US,1596493592
Pevek,69.7,170.31,35.49,93,100,6.06,RU,1596493587
Oranjestad,12.52,-70.03,89.6,66,20,14.99,AW,1596493744
Provideniya,64.38,-173.3,51.8,66,40,11.18,RU,1596493744
Prainha,-1.8,-53.48,84.18,57,9,2.98,BR,1596493744
Olafsvik,64.89,-23.71,49.42,84,60,2.73,IS,1596493745
Puerto Ayora,-0.74,-90.35,80.6,57,89,19.46,EC,1596493746
Opuwo,-18.06,13.84,56.7,33,0,6.55,NA,1596493746
Nerchinskiy Zavod,51.31,119.61,59.72,97,93,5.44,RU,1596493746
Dingle,11.0,122.67,76.62,89,100,3.65,PH,1596493747
Progreso,21.28,-89.67,93.2,49,40,9.17,MX,1596493747
Sabang,5.89,95.32,82.78,77,97,22.39,ID,1596493747
Northam,51.03,-4.22,55.0,87,89,1.99,GB,1596493748
Zavodouspenskoye,56.86,65.02,69.8,83,74,6.71,RU,1596493748
Lata,40.16,-8.33,64.99,86,100,5.01,PT,1596493748
Helong,42.54,129.0,71.15,71,57,5.1,CN,1596493748
Castro,-24.79,-50.01,56.35,80,5,3.47,BR,1596493749
Sørland,67.67,12.69,59.0,87,75,8.05,NO,1596493749
Lagoa,39.05,-27.98,73.44,88,53,14.05,PT,1596493749
Belaya Gora,68.53,146.42,56.16,54,60,6.76,RU,1596493750
Airai,-8.93,125.41,52.02,99,37,2.19,TL,1596493750
La Santisima Trinidad,-14.83,-64.9,91.4,43,20,1.86,BO,1596493750
Sittwe,20.15,92.9,81.41,88,100,7.96,MM,1596493750
Vilhena,-12.74,-60.15,77.68,31,0,2.73,BR,1596493751
Saldanha,-33.01,17.94,53.6,81,7,9.51,ZA,1596493751
Port-Cartier,50.03,-66.87,68.0,94,75,3.36,CA,1596493752
Bethel,41.37,-73.41,84.99,48,1,5.82,US,1596493752
Woodward,36.43,-99.39,82.4,51,75,10.29,US,1596493752
Comodoro Rivadavia,-45.87,-67.5,59.0,54,75,9.17,AR,1596493752
Tessalit,20.2,1.01,95.0,35,0,20.65,ML,1596493753
Boa Vista,2.82,-60.67,82.4,69,75,10.29,BR,1596493753
Rio Grande,-32.03,-52.1,66.0,86,0,7.05,BR,1596493622
Nchelenge,-9.35,28.73,64.33,56,1,5.44,ZM,1596493753
Vung Tau,10.35,107.08,80.71,84,97,7.94,VN,1596493754
Stephenville,32.22,-98.2,91.99,48,1,4.7,US,1596493593
Shimoda,34.67,138.95,78.8,94,40,2.24,JP,1596493755
Saint-Pierre,-21.34,55.48,66.2,82,90,14.99,RE,1596493755
Torbay,47.67,-52.73,78.01,60,75,18.34,CA,1596493755
Pinega,64.7,43.39,52.86,83,99,7.23,RU,1596493755
Payo,-3.75,103.64,74.1,90,93,2.17,ID,1596493756
Emirdağ,39.02,31.15,66.06,37,0,1.92,TR,1596493756
Tygda,53.12,126.33,54.7,95,100,7.92,RU,1596493756
Ahipara,-35.17,173.17,58.15,75,4,2.98,NZ,1596493757
Oliveira do Hospital,40.36,-7.86,64.99,86,95,5.01,PT,1596493757
Terra Santa,-2.1,-56.49,86.13,48,34,1.25,BR,1596493757
Dubbo,-32.25,148.62,39.2,100,0,10.29,AU,1596493758
Muhafazat Lahij,13.17,44.58,84.78,58,58,3.58,YE,1596493758
Sergeevka,53.88,67.42,67.93,70,0,6.89,KZ,1596493758
Bredasdorp,-34.53,20.04,59.0,77,33,8.05,ZA,1596493759
Tayu,-6.54,111.05,76.59,78,92,10.36,ID,1596493759
Gunjur,13.2,-16.73,80.6,94,40,10.29,GM,1596493759
Muros,42.78,-9.06,68.0,77,11,1.99,ES,1596493759
Adrar,20.5,-10.07,98.38,28,60,16.28,MR,1596493760
Port Hedland,-20.32,118.57,60.8,87,54,9.17,AU,1596493760
Adolfo López Mateos,28.47,-107.3,68.0,60,73,11.01,MX,1596493760
Tuatapere,-46.13,167.68,47.5,75,100,6.87,NZ,1596493761
Gorontalo,0.54,123.06,73.08,87,95,1.79,ID,1596493761
Lompoc,34.64,-120.46,73.99,56,0,14.99,US,1596493761
Whitehorse,60.72,-135.05,64.4,39,75,8.05,CA,1596493762
Lagos,6.58,3.75,77.0,83,20,4.7,NG,1596493676
Asău,46.43,26.4,57.0,92,0,2.35,RO,1596493762
Tromsø,69.65,18.96,53.6,81,0,5.82,NO,1596493763
Nizhnevartovsk,60.93,76.55,69.8,77,49,4.47,RU,1596493763
Bodden Town,19.28,-81.25,87.01,83,40,5.82,KY,1596493763
Bathsheba,13.22,-59.52,84.2,74,20,10.29,BB,1596493763
Philadelphia,39.95,-75.16,86.0,51,90,6.93,US,1596493738
Palmer,42.16,-72.33,88.0,45,75,9.17,US,1596493764
Cajuru,-21.28,-47.3,71.6,33,0,4.7,BR,1596493760
Zeya,53.75,127.27,56.73,70,100,5.91,RU,1596493764
Avilés,43.55,-5.92,66.2,82,75,1.12,ES,1596493765
Kaka,37.35,59.61,85.23,16,0,7.58,TM,1596493765
Shirokiy,49.76,129.52,63.39,94,100,10.87,RU,1596493765
Realeza,-25.77,-53.53,62.42,73,0,4.0,BR,1596493766
Arrondissement de Libourne,44.92,-0.25,62.6,88,20,3.36,FR,1596493766
Bagan,54.1,77.66,64.26,85,32,10.04,RU,1596493766
Safi,32.3,-9.24,70.86,81,0,19.24,MA,1596493766
Tocopilla,-22.09,-70.2,60.71,57,21,4.72,CL,1596493767
Cochrane,51.18,-114.47,73.99,49,40,14.99,CA,1596493528
Baiyin,36.56,104.21,73.0,93,90,2.24,CN,1596493768
Sokoto,13.06,5.24,73.06,85,91,12.15,NG,1596493768
Sigiriya,7.95,80.74,75.88,80,99,17.56,LK,1596493768
Petropavlovsk-Kamchatskiy,53.05,158.65,62.6,63,38,11.18,RU,1596493768
